id,title,form,content,views,timestamp,edit_timestamp,archived
1,Trees of The Vale,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Yes I spied a valley low</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Where life carried on slow</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Across the road from the cemetery</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Where footsteps were dull and hollow</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">A funeral procession was going on</span></p><p><br></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Yes the trees of the vale</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Were tall and forlorn</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">The sun hung high and lorn</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">As were the clouds of dawn</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">As I drove along that road</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Away from that valley low</span></p>",252,2024-07-25 06:27:56,,0
2,Old Tree,Free Verse,"<p><strong style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Old tree...</strong></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Down at the middle of the vale</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Telling tales of an ancient people </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And their lore</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Around are solitary hilly peaks </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Silent in the commotion below</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And just a little while, </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">The rain will come; </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Crawling and calling, </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Crashing in torrents</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Seeking all true natures disciples</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And will paint the land in refreshing ink</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">With morning dew and a green swathe</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Wild flowers don't blossom here</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">But I see the green just as pink, </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Just as yellow and just as sweet</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Its just a little closer to heaven</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">They will charge you a dollar</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">For some water or Cola</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">They wait upon you in soft velvet collars</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And to behold such beauty </span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Is not about profit</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">No one ever pays to get to heaven</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Still...</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Old tree telling tales of an ancient time</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">When lions roamed and roared</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And herdsmen trembled for their flock</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">A time when there were no roads</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">And heaven was full mosquitoes and disease</span></p><p><strong style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">Old tree..</strong></p>",142,2024-07-25 21:17:34,2024-07-29 20:27:15,0
4,That Time Of Day-POTD,Sonnet,"<p><span class=""ql-font-Poppins ql-size-small"">That time of day when sweet birds songs intrude</span></p><p><span class=""ql-font-Poppins ql-size-small"">And thoughts of yesterday warm my minds brood</span></p><p><span class=""ql-font-Poppins ql-size-small"">I turn the page to days when love was true</span></p><p><span class=""ql-font-Poppins ql-size-small"">Your voice on my heart was a sunny coo</span></p><p><br></p><p><span class=""ql-font-Poppins ql-size-small""><span class=""ql-cursor"">???</span>But now the light of day turns wintry blue</span></p><p><span class=""ql-font-Poppins ql-size-small"">The hearth is cold where I once warmed with you</span></p><p><span class=""ql-font-Poppins ql-size-small"">If only your lotus bloomed in winter</span></p><p><span class=""ql-font-Poppins ql-size-small"">Then I would hope amidst snow and winter</span></p><p><br></p><p><span class=""ql-font-Poppins ql-size-small"">That time of day when a heart waxes worn</span></p><p><span class=""ql-font-Poppins ql-size-small"">The birds tweet their songs to a heart that stings</span></p><p><span class=""ql-font-Poppins ql-size-small"">Their song is a cacophonous bullhorn</span></p><p><span class=""ql-font-Poppins ql-size-small"">And a heart echoes in veins of cold strings</span></p><p><br></p><p><span class=""ql-font-Poppins ql-size-small"">That time of day when still cold the heart sings</span></p><p><span class=""ql-font-Poppins ql-size-small"">And cold throes of a wistful winter will sting</span></p>",44,2024-07-28 23:03:03,2024-07-29 20:20:57,0
6,You Fell like October Rain,Free Verse,"<p><span class=""ql-font-Verdana ql-size-small"">You fell in October, like autumn leaves</span></p><p><span class=""ql-font-Verdana ql-size-small"">Funny it was a hot day.</span></p><p><span class=""ql-font-Verdana ql-size-small"">The avocado tree was budding.</span></p><p><span class=""ql-font-Verdana ql-size-small"">I knew you only a short while,</span></p><p><span class=""ql-font-Verdana ql-size-small"">But it broke me to see your mother cry.</span></p><p><span class=""ql-font-Verdana ql-size-small"">She was inconsolable.</span></p><p><span class=""ql-font-Verdana ql-size-small"">And I thought I was strong,</span></p><p><span class=""ql-font-Verdana ql-size-small"">But my tears could not be kept at bay.</span></p><p><br></p><p><span class=""ql-font-Verdana ql-size-small"">Your friends gathered by your side,</span></p><p><span class=""ql-font-Verdana ql-size-small"">Oh what love they had for you.</span></p><p><span class=""ql-font-Verdana ql-size-small"">Your lover had mourned all he could,</span></p><p><span class=""ql-font-Verdana ql-size-small"">He was the strongest,&nbsp;</span></p><p><span class=""ql-font-Verdana ql-size-small"">Not one tear.</span></p><p><br></p><p><span class=""ql-font-Verdana ql-size-small"">They built you a house in the ground,</span></p><p><span class=""ql-font-Verdana ql-size-small"">So they said.</span></p><p><span class=""ql-font-Verdana ql-size-small"">They built you a bed, never to rise</span></p><p><span class=""ql-font-Verdana ql-size-small"">So I said.</span></p><p><span class=""ql-font-Verdana ql-size-small"">And in love they gathered around you.</span></p><p><span class=""ql-font-Verdana ql-size-small"">And laid you in it.</span></p><p><span class=""ql-font-Verdana ql-size-small"">That was the hardest,</span></p><p><span class=""ql-font-Verdana ql-size-small"">Interred you in red loam.</span></p><p><br></p><p><span class=""ql-font-Verdana ql-size-small"">And this was the finality,</span></p><p><span class=""ql-font-Verdana ql-size-small"">Who would have known?</span></p><p><span class=""ql-font-Verdana ql-size-small"">That your laughter would be so short,</span></p><p><span class=""ql-font-Verdana ql-size-small"">Thirty and one years?.</span></p><p><span class=""ql-font-Verdana ql-size-small"">They said we had to embrace death.</span></p><p><span class=""ql-font-Verdana ql-size-small"">Even come to love and desire it.</span></p><p><span class=""ql-font-Verdana ql-size-small"">He visits one and all.</span></p><p><span class=""ql-font-Verdana ql-size-small"">His cynical finality.</span></p><p><br></p><p><span class=""ql-font-Verdana ql-size-small"">It was hot and sunny today,</span></p><p><span class=""ql-font-Verdana ql-size-small"">But you fell like October rain.</span></p><p><span class=""ql-font-Verdana ql-size-small"">When heaven heaved in storm clouds,</span></p><p><span class=""ql-font-Verdana ql-size-small"">As they entrenched you underground.</span></p>",13,2024-07-30 09:10:52,,0
7,I Spied A Valley Low,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small ql-font-Verdana"">I spied a valley low</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Across the road from the cemetery</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">A Columbus monkey swinging by</span></p><p><br></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">The trees of the vale</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Stood tall and forlorn</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Observing the crematorium</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Covered in light gray smoke</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">As morning traffic streamed on by</span></p><p><br></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Giraffe reached for the tallest bough</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">And I thought I heard the leopards growl</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">And by the road was a troop of baboons</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">As people walked on by</span></p><p><br></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">And a few yards away,</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Was the army garrison</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">A regiment trooped on by,</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">As a sounder was grazing idly by</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">And people walked on by</span></p><p><br></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Yes I spied a valley low</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Where life carried on slow</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Across the road from the cemetery</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Where footsteps were dull and hollow</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">A funeral procession was going on</span></p><p><br></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Yes the trees of the vale</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Were tall and forlorn</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">The sun hung high and lorn</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">As were the clouds of dawn</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">As I drove along that road</span></p><p><span class=""ql-size-small ql-font-Verdana"" style=""color: rgb(0, 0, 0);"">Away from that valley low</span></p>",8,2024-07-30 11:40:02,,0
8,Places - I Keep you close,Lyric,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto ql-size-small"">[verse 1]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">There were places in the world (the world),</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">That we could always hang around,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">Where every silent wish could be heard.</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">And there were things to figure out,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">Like family money power and the world,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">The sun is beautiful (beautiful).</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">[chorus]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep my candle burning for you,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">In the night and in the morning,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I'll keep you close (I keep you close).</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">[verse 2]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">There were many memories to write</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">There were many voices to be heard,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">To me you're beautiful (you're beautiful).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">There were many enemies to fight,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">Like long days and lonely nights,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">The sun is beautiful (beautiful).</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">[chorus]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep my candle burning for you,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">In the night and in the morning,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I'll keep you close (I keep you close).</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">[bridge]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">When the light has hit your morning,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">And your tears are slowly drying,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">When these lonely twilights turn to gold,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">And golden sun shines kiss the dawn,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">[chorus]</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep my candle burning for you,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I keep you close (I'll keep you close).</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">In the night and in the morning,</span></p><p><span class=""ql-font-Roboto ql-size-small"" style=""color: rgb(0, 0, 0);"">I'll keep you close (I keep you close).</span></p>",35,2024-07-30 12:00:34,2024-07-30 12:07:13,0
10,Why Should I dream,Free Verse,"<p><span class=""ql-font-Roboto ql-size-small"">Why should I dream?</span></p><p><span class=""ql-font-Roboto ql-size-small"">Of a time locked in the breeze</span></p><p><span class=""ql-font-Roboto ql-size-small"">The mesmerizing violence of your touch</span></p><p><span class=""ql-font-Roboto ql-size-small"">A tempest bated in anticipation</span></p><p><span class=""ql-font-Roboto ql-size-small"">You, a delicate carnation, </span></p><p><span class=""ql-font-Roboto ql-size-small"">Withering in my hand</span></p><p><span class=""ql-font-Roboto ql-size-small"">In the torrents of our ancient dance</span></p><p><br></p><p><span class=""ql-font-Poppins ql-size-small"">Now you stand in front of me</span></p><p><span class=""ql-font-Poppins ql-size-small"">Like a sandstorm in my face</span></p><p><span class=""ql-font-Poppins ql-size-small"">This maelstrom washed memory</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">Tell me why should I dream?</span></p><p><span class=""ql-font-Roboto ql-size-small"">Of your moans in the moons gleam</span></p><p><span class=""ql-font-Roboto ql-size-small"">And our highs in the firelight</span></p><p><span class=""ql-font-Roboto ql-size-small"">That ushered your flight oh firefly</span></p><p><span class=""ql-font-Roboto ql-size-small"">And your goodbyes that tinged the night</span></p><p><span class=""ql-font-Roboto ql-size-small"">Those lachrymal ancient nights</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">Now you stand in front of me</span></p><p><span class=""ql-font-Roboto ql-size-small"">The firefly of my dreams</span></p><p><span class=""ql-font-Roboto ql-size-small"">On these tear-soaked dusty streets</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">Oh, these dusty streets</span></p><p><span class=""ql-font-Roboto ql-size-small"">Where my dreams of you never ceased</span></p><p><span class=""ql-font-Roboto ql-size-small"">Like the steps we lost in the dust</span></p><p><span class=""ql-font-Roboto ql-size-small"">And you leaving, like a sudden gust</span></p><p><span class=""ql-font-Roboto ql-size-small"">On that windy November day</span></p><p><span class=""ql-font-Roboto ql-size-small"">That rain-soaked memory, dust to clay</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">And now you stand in front of me</span></p><p><span class=""ql-font-Roboto ql-size-small"">I wonder, where did your firelight lead?</span></p><p><span class=""ql-font-Roboto ql-size-small"">You firefly of my dreams</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">Now you stand in front of me</span></p><p><span class=""ql-font-Roboto ql-size-small"">Ready to awake my dreams</span></p><p><span class=""ql-font-Roboto ql-size-small"">On these dust-filled streets</span></p><p><span class=""ql-font-Roboto ql-size-small"">With November stolen kisses</span></p><p><span class=""ql-font-Roboto ql-size-small"">Igniting memories committed to dust</span></p><p><span class=""ql-font-Roboto ql-size-small"">On these streets that we called home</span></p><p><br></p><p><span class=""ql-font-Roboto ql-size-small"">Now you stand in front of me</span></p><p><span class=""ql-font-Roboto ql-size-small"">What happened to my dreams?</span></p><p><span class=""ql-font-Roboto ql-size-small"">Copyright ©&nbsp;</span><a href=""https://www.poetrysoup.com/poems_poets/poems_by_poet.aspx?ID=88351"" target=""_blank"" style=""color: rgb(51, 102, 204);"" class=""ql-font-Roboto ql-size-small"">Marugu Mo</a><span class=""ql-font-Roboto ql-size-small"">&nbsp;| Year Posted</span></p>",12,2024-08-02 14:14:39,,0
11,Mamas Letter,Lyric,"<p><span class=""ql-size-small"">Chills of winter, have come and passed</span></p><p><span class=""ql-size-small"">I read your letter, it’s all I have</span></p><p><span class=""ql-size-small"">Says dear daughter, please be brave</span></p><p><span class=""ql-size-small"">It maybe winter, but I am with you</span></p><p><br></p><p><span class=""ql-size-small"">Darling please, my darling please</span></p><p><span class=""ql-size-small"">Darling please, remember me</span></p><p><span class=""ql-size-small"">Darling please, remember me</span></p><p><span class=""ql-size-small"">When in winter, remember me</span></p><p><br></p><p><span class=""ql-size-small"">Kiss your brother, goodnight for me</span></p><p><span class=""ql-size-small"">Here is my picture, remember me</span></p><p><span class=""ql-size-small"">He is too young, to understand</span></p><p><span class=""ql-size-small"">By this letter, he’ll understand</span></p><p><br></p><p><span class=""ql-size-small"">We had such laughter, such perfect plans</span></p><p><span class=""ql-size-small"">But this cancer, had other plans</span></p><p><span class=""ql-size-small"">Be the strongest, that you can</span></p><p><span class=""ql-size-small"">We will meet, in heavens rest</span></p><p><br></p><p><span class=""ql-size-small"">Darling please, my darling please</span></p><p><span class=""ql-size-small"">Darling please, remember me</span></p><p><span class=""ql-size-small"">Darling please, remember me</span></p><p><span class=""ql-size-small"">When in winter, remember me</span></p><p><br></p><p><span class=""ql-size-small"">Though the winter, has come and passed</span></p><p><span class=""ql-size-small"">I kept your letter, by my bed</span></p><p><span class=""ql-size-small"">And my brother, is now a man</span></p><p><span class=""ql-size-small"">I believe he understands</span></p><p><br></p><p><span class=""ql-size-small"">Mama please! my darling please</span></p><p><span class=""ql-size-small"">Mama please, remember me</span></p><p><span class=""ql-size-small"">Darling please, remember me</span></p><p><span class=""ql-size-small"">When in winter, remember me</span></p><p><span class=""ql-size-small"">As you rest, remember me</span></p><p><span class=""ql-size-small"">Copyright ©&nbsp;</span><a href=""https://www.poetrysoup.com/poems_poets/poems_by_poet.aspx?ID=88351"" target=""_blank"" style=""color: rgb(51, 102, 204);"" class=""ql-size-small"">Marugu Mo</a><span class=""ql-size-small"">&nbsp;| Year Posted 2018</span></p>",3,2024-08-04 11:08:22,,0
12,The Blend,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-size-small"">This small town will be our end</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Don’t you know that these walls</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">See and tell, these vibrant facades</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">I saw you dance and fall</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Trappings of a time old</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">To the blare of a song loud</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">I saw not the lips that pouted</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Till they touched mine</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">November might have been cold</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">But my embers were kindled</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">And as the wind blew,</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">You and I closer drew</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">Till the walls no longer knew</span></p><p><span class=""ql-size-small"" style=""color: rgb(0, 0, 0);"">The dance floor of lips</span></p>",4,2024-08-04 11:10:18,,0
